fav_cnt,play_cnt,tid,title,uin,encrypt_uin,nick,class
1638,112712,8855463316,柠萌菌私藏丨二次元催泪神曲！,316123236,oi6soK-iowos,柠萌菌,3317
2211,69464,8859235610,2023年3月古典唱片推荐,1329196694,oKoANK6q7wCq7n**,橄榄古典音乐,3317
5538,322080,8843569813,琦屿私藏｜催泪故事性漫剪神曲,1342501948,oKoPow4zoKEPNn**,琦屿QIYU,3317
875,30921,8837802796,2023年2月古典唱片推荐,1329196694,oKoANK6q7wCq7n**,橄榄古典音乐,3317
545,30697,8837677761,当代音乐新唱片推荐,1329196694,oKoANK6q7wCq7n**,橄榄古典音乐,3317
1571,107018,8827916703,粽子酱私藏｜回忆起看动漫时的感动,1584837223,oK4F7eci7i-Aoz**,粽子酱,3317
2339,154834,8821679013,柠萌菌私藏｜剪辑常用的动漫神曲,316123236,oi6soK-iowos,柠萌菌,3317
557,34947,8820617480,玩偶菌私藏|强烈的情绪往事,836373219,NeosoiSiow6q,玩偶菌,3317
609,70861,8814338625,一场音乐里的春日预备,3359405129,oiokNKvz7K6ANv**,宇宙好歌,3317
912,39973,8816268404,收！一份春日古典BGM～,1329196694,oKoANK6q7wCq7n**,橄榄古典音乐,3317
5595,512900,8816124327,耳帝精选｜2023全球流行歌单,2312969460,owo5owEsNKvson**,耳帝,3317
22502,1730569,8807683122,ACG｜新海诚全系列作品主题曲&插入曲,2965779389,owEs7KSlNKoFNv**,folatingdream-,3317
1381,75639,8799084645,第65届格莱美获奖古典唱片,1329196694,oKoANK6q7wCq7n**,橄榄古典音乐,3317
1564,208659,8776883608,春节快乐！新年背景音乐在此,1329196694,oKoANK6q7wCq7n**,橄榄古典音乐,3317
581,46916,8754779494,“阳康”疗愈古典歌单,1329196694,oKoANK6q7wCq7n**,橄榄古典音乐,3317
628,28102,8718363260,2022年11月古典唱片推荐,1329196694,oKoANK6q7wCq7n**,橄榄古典音乐,3317
758,48762,8693803726,宠物也爱的古典音乐,1329196694,oKoANK6q7wCq7n**,橄榄古典音乐,3317
627,50504,8661012619,夜之乐章,1329196694,oKoANK6q7wCq7n**,橄榄古典音乐,3317
939,44899,8636475516,「下城往事」声音的艺术特别企划 ,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
1871,197206,8632380035,比较古典：巴赫哥德堡变奏曲,1329196694,oKoANK6q7wCq7n**,橄榄古典音乐,3317
603,68427,8625132211,不要和摇滚乐手谈恋爱,3359405129,oiokNKvz7K6ANv**,宇宙好歌,3317
1582,131173,8622987601,"停止EMO,电音也可以很治愈",3359405129,oiokNKvz7K6ANv**,宇宙好歌,3317
404,44646,8616296757,99公益日：音乐树洞救援队,2783429033,owSFoivANKnioz**,QQ音乐官方歌单,3317
377,30363,8609126481,炼金术士，HipHop花式采样,3359405129,oiokNKvz7K6ANv**,宇宙好歌,3317
1069,78709,8575835054,S厂出品：夏日飞盘大作战,3383878865,oioFoiclNecs7v**,Spinnin’ Records,3317
363,76547,8601363532,HITFM·Top20 榜单｜8月第四期,1816894842,oKc57wcq7ecPoc**,HIT,3317
